sample_index,timestamp,eeg
130,1782309407.6146247,439
131,1782309407.6146288,398
132,1782309407.6146297,484
133,1782309407.6146307,357
134,1782309407.6146314,430
135,1782309407.6146324,406
136,1782309407.6146333,483
137,1782309407.614634,364
138,1782309407.6146348,381
139,1782309407.6146355,412
140,1782309407.6146367,481
141,1782309407.6146405,364
142,1782309407.6146412,416
143,1782309407.6146421,414
144,1782309407.6146429,474
145,1782309407.6146438,371
146,1782309407.6146445,407
147,1782309407.6146455,426
148,1782309407.6146462,475
149,1782309407.6146472,375
150,1782309407.6146479,532
151,1782309407.722558,423
152,1782309407.722568,468
153,1782309407.7225692,371
154,1782309407.7225704,529
155,1782309407.7225716,427
156,1782309407.7225726,464
157,1782309407.7225733,378
158,1782309407.722574,528
159,1782309407.7225814,421
160,1782309407.7225826,470
161,1782309407.7236485,379
162,1782309407.7236497,527
163,1782309407.7236505,426
164,1782309407.7236514,463
165,1782309407.7236524,380
166,1782309407.723653,522
167,1782309407.7236538,433
168,1782309407.7236547,457
169,1782309407.7236557,388
170,1782309407.7236564,516
171,1782309407.7246063,434
172,1782309407.7246072,457
173,1782309407.7246087,388
174,1782309407.7246096,513
175,1782309407.7246103,336
176,1782309407.7246113,454
177,1782309407.7246122,391
178,1782309407.7246132,508
179,1782309407.724614,341
180,1782309407.7246149,448
181,1782309407.7265146,394
182,1782309407.7265158,507
183,1782309407.7265165,346
184,1782309407.7265172,445
185,1782309407.7265182,395
186,1782309407.726519,497
187,1782309407.7265198,350
188,1782309407.7265208,438
189,1782309407.7265215,396
190,1782309407.7265224,494
191,1782309407.729048,351
192,1782309407.7290497,432
193,1782309407.7290506,401
194,1782309407.7290514,484
195,1782309407.729052,352
196,1782309407.729053,425
197,1782309407.729054,404
198,1782309407.7290547,472
199,1782309407.7290554,357
200,1782309407.7290564,538
201,1782309407.7309806,408
202,1782309407.7309818,468
203,1782309407.730983,363
204,1782309407.7309837,530
205,1782309407.7309847,408
206,1782309407.7309854,469
207,1782309407.7309864,347
208,1782309407.7309895,541
209,1782309407.7309906,403
210,1782309407.7309914,435
211,1782309407.730996,356
212,1782309407.730997,529
213,1782309407.7309978,409
214,1782309407.7309985,456
215,1782309407.7309992,348
216,1782309407.731,517
217,1782309407.7310011,411
218,1782309407.731002,451
219,1782309407.731003,353
220,1782309407.731004,516
221,1782309407.731008,413
222,1782309407.731009,453
223,1782309407.73101,357
224,1782309407.731011,524
225,1782309407.731012,302
226,1782309407.7310128,457
227,1782309407.7310138,353
228,1782309407.7310147,518
229,1782309407.7310157,310
230,1782309407.7310164,458
231,1782309407.7317028,364
232,1782309407.7317038,524
233,1782309407.7317057,313
234,1782309407.7317064,451
235,1782309407.7317073,365
236,1782309407.731708,527
237,1782309407.731709,318
238,1782309407.7317097,464
239,1782309407.7317104,367
240,1782309407.7317114,515
241,1782309407.7317154,316
242,1782309407.7317178,461
